Number	Northing	Easting	Elevation	Raw Desc	Latitude	Longitude
10101	2113141.747420	6763328.81371	0.00	A1 R1 P1	38.96252969410	-121.29075969600
10102	2113141.725920	6763332.14721	0.00	A1 R1 P2	38.96252956360	-121.29074797300
10111	2113141.530630	6763362.14661	0.00	A1 R1 P11	38.96252838450	-121.29064247400
10112	2113141.508830	6763365.47978	0.00	A1 R1 P12	38.96252825320	-121.29063075200
10113	2113141.487440	6763368.81321	0.00	A1 R1 P13	38.96252812300	-121.29061902900
10114	2113141.465710	6763372.14655	0.00	A1 R1 P14	38.96252799190	-121.29060730700
10115	2113141.443830	6763375.47961	0.00	A1 R1 P15	38.96252786040	-121.29059558500
10116	2113141.422140	6763378.81281	0.00	A1 R1 P16	38.96252772940	-121.29058386300
10117	2113141.400800	6763382.14626	0.00	A1 R1 P17	38.96252759930	-121.29057214100
10118	2113141.378850	6763385.47960	0.00	A1 R1 P18	38.96252746760	-121.29056041800
10119	2113141.357160	6763388.81265	0.00	A1 R1 P19	38.96252733660	-121.29054869700
10120	2113141.335470	6763392.14582	0.00	A1 R1 P20	38.96252720560	-121.29053697500
10103	2113141.704180	6763335.48056	0.00	A1 R1 P3	38.96252943250	-121.29073625100
10121	2113141.314000	6763395.47926	0.00	A1 R1 P21	38.96252707520	-121.29052525200
10122	2113141.292150	6763398.81259	0.00	A1 R1 P22	38.96252694380	-121.29051353000
10123	2113141.270470	6763402.14567	0.00	A1 R1 P23	38.96252681280	-121.29050180800
10124	2113141.248670	6763405.47882	0.00	A1 R1 P24	38.96252668150	-121.29049008700
10125	2113141.227260	6763408.81222	0.00	A1 R1 P25	38.96252655120	-121.29047836400
10126	2113141.205330	6763412.14556	0.00	A1 R1 P26	38.96252641950	-121.29046664200
10127	2113141.183690	6763415.47867	0.00	A1 R1 P27	38.96252628870	-121.29045492000
10128	2113141.161890	6763418.81183	0.00	A1 R1 P28	38.96252615740	-121.29044319800
10129	2113141.140550	6763422.14521	0.00	A1 R1 P29	38.96252602730	-121.29043147600
10130	2113141.118580	6763425.47862	0.00	A1 R1 P30	38.96252589550	-121.29041975300
10104	2113141.682510	6763338.81364	0.00	A1 R1 P4	38.96252930160	-121.29072452900
10131	2113141.096840	6763428.81183	0.00	A1 R1 P31	38.96252576440	-121.29040803100
10132	2113141.075460	6763432.14526	0.00	A1 R1 P32	38.96252563420	-121.29039630800
10133	2113141.053670	6763435.47855	0.00	A1 R1 P33	38.96252550290	-121.29038458600
10134	2113141.031800	6763438.81162	0.00	A1 R1 P34	38.96252537140	-121.29037286500
10135	2113141.010100	6763442.14484	0.00	A1 R1 P35	38.96252524030	-121.29036114300
10136	2113140.988750	6763445.47828	0.00	A1 R1 P36	38.96252511020	-121.29034942000
10137	2113140.966830	6763448.81161	0.00	A1 R1 P37	38.96252497860	-121.29033769700
10138	2113140.945120	6763452.14467	0.00	A1 R1 P38	38.96252484750	-121.29032597600
10139	2113140.923380	6763455.47786	0.00	A1 R1 P39	38.96252471630	-121.29031425400
10140	2113140.901980	6763458.81129	0.00	A1 R1 P40	38.96252458610	-121.29030253100
10105	2113141.660680	6763342.14679	0.00	A1 R1 P5	38.96252917020	-121.29071280700
10141	2113140.880100	6763462.14461	0.00	A1 R1 P41	38.96252445450	-121.29029080900
